sku_id,title,price,description,availability,image,link
12,Thyms coloring tinte rubio extraclaro #9.0 x 60gr,12900 COP,thyms coloring tinte rubio extraclaro #9.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/12/10001.jpg,https://almacensandra.com.co/product/p-12-thyms-coloring-tinte-rubio-extraclaro-90-x-60gr
13,Thyms coloring tinte rubio claro n.8.0x 60gr,12900 COP,thyms coloring tinte rubio claro n.8.0x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/13/10002.jpg,https://almacensandra.com.co/product/p-13-thyms-coloring-tinte-rubio-claro-n80x-60gr
14,Thyms coloring tinte castaño claro n.5.0 x 60gr,12900 COP,thyms coloring tinte castaño claro n.5.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/14/10003.jpg,https://almacensandra.com.co/product/p-14-thyms-coloring-tinte-castano-claro-n50-x-60gr
15,Thyms coloring tinte castaño mediano n.4.0 x 60gr,12900 COP,thyms coloring tinte castaño mediano n.4.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/15/10004.jpg,https://almacensandra.com.co/product/p-15-thyms-coloring-tinte-castano-mediano-n40-x-60gr
16,Thyms coloring tinte castaño oscuro #3.0 x 60gr,12900 COP,thyms coloring tinte castaño oscuro #3.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/16/10005.jpg,https://almacensandra.com.co/product/p-16-thyms-coloring-tinte-castano-oscuro-30-x-60gr
17,Thyms coloring tinte negro n.1.0 x 60gr,12900 COP,thyms coloring tinte negro n.1.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/17/10006.jpg,https://almacensandra.com.co/product/p-17-thyms-coloring-tinte-negro-n10-x-60gr
19,Thyms coloring tinte rubio cenizo claro natural #8.01 x 60gr,12900 COP,thyms coloring tinte rubio cenizo claro natural #8.01 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/19/10008.jpg,https://almacensandra.com.co/product/p-19-thyms-coloring-tinte-rubio-cenizo-claro-natural-801-x-60gr
20,Thyms coloring tinte rubio cenizo mediano natural #7.01 x 60gr,12900 COP,thyms coloring tinte rubio cenizo mediano natural #7.01 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/20/10009.jpg,https://almacensandra.com.co/product/p-20-thyms-coloring-tinte-rubio-cenizo-mediano-natural-701-x-60gr
21,Thyms coloring tinte rubio cenizo oscuro natural n.6.01 x 60gr,12900 COP,thyms coloring tinte rubio cenizo oscuro natural n.6.01 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/21/10010.jpg,https://almacensandra.com.co/product/p-21-thyms-coloring-tinte-rubio-cenizo-oscuro-natural-n601-x-60gr
22,Thyms coloring tinte rubio cenizo platino n.11.1 x 60gr,12900 COP,thyms coloring tinte rubio cenizo platino n.11.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/22/10011.jpg,https://almacensandra.com.co/product/p-22-thyms-coloring-tinte-rubio-cenizo-platino-n111-x-60gr
23,Thyms coloring tinte rubio cenizo extraclaro n.9.1 x 60gr,12900 COP,thyms coloring tinte rubio cenizo extraclaro n.9.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/23/10012.jpg,https://almacensandra.com.co/product/p-23-thyms-coloring-tinte-rubio-cenizo-extraclaro-n91-x-60gr
24,Thyms coloring tinte rubio cenizo claro n.8.1 x 60gr,12900 COP,thyms coloring tinte rubio cenizo claro n.8.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/24/10013.jpg,https://almacensandra.com.co/product/p-24-thyms-coloring-tinte-rubio-cenizo-claro-n81-x-60gr
25,Thyms coloring tinte rubio cenizo mediano # 7.1 x 60gr,12900 COP,thyms coloring tinte rubio cenizo mediano # 7.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/25/10014.jpg,https://almacensandra.com.co/product/p-25-thyms-coloring-tinte-rubio-cenizo-mediano-71-x-60gr
26,Thyms coloring tinte rubio cenizo oscuro # 6.1 x 60gr,12900 COP,thyms coloring tinte rubio cenizo oscuro # 6.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/26/10015.jpg,https://almacensandra.com.co/product/p-26-thyms-coloring-tinte-rubio-cenizo-oscuro-61-x-60gr
27,Thyms coloring tinte negro azul #1.1 x 60gr1,12900 COP,thyms coloring tinte negro azul #1.1 x 60gr1,in stock,https://casandra-static.s3.amazonaws.com/products/27/10016.jpg,https://almacensandra.com.co/product/p-27-thyms-coloring-tinte-negro-azul-11-x-60gr1
28,Thyms coloring tinte rubio mate extraclarisimo n.10.2 x 60gr,12900 COP,thyms coloring tinte rubio mate extraclarisimo n.10.2 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/28/10017.jpg,https://almacensandra.com.co/product/p-28-thyms-coloring-tinte-rubio-mate-extraclarisimo-n102-x-60gr
29,Thyms coloring tinte rubio mate claro n.8.2 x 60gr,12900 COP,thyms coloring tinte rubio mate claro n.8.2 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/29/10019.jpg,https://almacensandra.com.co/product/p-29-thyms-coloring-tinte-rubio-mate-claro-n82-x-60gr
30,Thyms coloring tinte rubio mate mediano # 7.2 x 60gr,12900 COP,thyms coloring tinte rubio mate mediano # 7.2 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/30/10020.jpg,https://almacensandra.com.co/product/p-30-thyms-coloring-tinte-rubio-mate-mediano-72-x-60gr
31,Thyms coloring tinte rubio mate oscuro # 6.2 x 60gr,12900 COP,thyms coloring tinte rubio mate oscuro # 6.2 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/31/10021.jpg,https://almacensandra.com.co/product/p-31-thyms-coloring-tinte-rubio-mate-oscuro-62-x-60gr
32,Thyms coloring tinte rubio dorado extraclaro natural #9.03 x 60gr,12900 COP,thyms coloring tinte rubio dorado extraclaro natural #9.03 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/32/10023.jpg,https://almacensandra.com.co/product/p-32-thyms-coloring-tinte-rubio-dorado-extraclaro-natural-903-x-60gr
33,Thyms coloring tinte rubio dorado claro natural # 8.03 x 60gr,12900 COP,thyms coloring tinte rubio dorado claro natural # 8.03 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/33/10024.jpg,https://almacensandra.com.co/product/p-33-thyms-coloring-tinte-rubio-dorado-claro-natural-803-x-60gr
35,Thyms coloring tinte café moca claro n.8.33 x 60gr,12900 COP,thyms coloring tinte café moca claro n.8.33 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/35/10027.jpg,https://almacensandra.com.co/product/p-35-thyms-coloring-tinte-cafe-moca-claro-n833-x-60gr
36,Thyms coloring tinte café moca mediano n.7.33 x 60gr,12900 COP,thyms coloring tinte café moca mediano n.7.33 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/36/10028.jpg,https://almacensandra.com.co/product/p-36-thyms-coloring-tinte-cafe-moca-mediano-n733-x-60gr
37,Thyms coloring tinte rubio avellana n.7.3 x 60gr,12900 COP,thyms coloring tinte rubio avellana n.7.3 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/37/10029.jpg,https://almacensandra.com.co/product/p-37-thyms-coloring-tinte-rubio-avellana-n73-x-60gr
38,Thyms coloring tinte café moca ocuro n.6.33 x 60gr,12900 COP,thyms coloring tinte café moca ocuro n.6.33 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/38/10030.jpg,https://almacensandra.com.co/product/p-38-thyms-coloring-tinte-cafe-moca-ocuro-n633-x-60gr
39,Thyms coloring tinte rubio café oscuro n.6.3 x 60gr,12900 COP,thyms coloring tinte rubio café oscuro n.6.3 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/39/10031.jpg,https://almacensandra.com.co/product/p-39-thyms-coloring-tinte-rubio-cafe-oscuro-n63-x-60gr
41,Thyms coloring tinte tabaco claro n.8.35 x 60gr,12900 COP,thyms coloring tinte tabaco claro n.8.35 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/41/10033.jpg,https://almacensandra.com.co/product/p-41-thyms-coloring-tinte-tabaco-claro-n835-x-60gr
42,Thyms coloring tinte tabaco mediano n.7.35 x 60gr,12900 COP,thyms coloring tinte tabaco mediano n.7.35 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/42/10034.jpg,https://almacensandra.com.co/product/p-42-thyms-coloring-tinte-tabaco-mediano-n735-x-60gr
43,Thyms coloring tinte tabaco oscuro # 6.35 x 60gr,12900 COP,thyms coloring tinte tabaco oscuro # 6.35 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/43/10035.jpg,https://almacensandra.com.co/product/p-43-thyms-coloring-tinte-tabaco-oscuro-635-x-60gr
44,Thyms coloring tinte chocolate mediano # 7.36 x 60gr,12900 COP,thyms coloring tinte chocolate mediano # 7.36 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/44/10036.jpg,https://almacensandra.com.co/product/p-44-thyms-coloring-tinte-chocolate-mediano-736-x-60gr
45,Thyms coloring tinte chocolate  # 6.36 x 60gr,12900 COP,thyms coloring tinte chocolate  # 6.36 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/45/10037.jpg,https://almacensandra.com.co/product/p-45-thyms-coloring-tinte-chocolate-636-x-60gr
46,Thyms coloring tinte cacao n.5.36 x 60gr,12900 COP,thyms coloring tinte cacao n.5.36 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/46/10038.jpg,https://almacensandra.com.co/product/p-46-thyms-coloring-tinte-cacao-n536-x-60gr
47,Thyms coloring tinte cobre rojizo claro  # 8.46 x 60gr,12900 COP,thyms coloring tinte cobre rojizo claro  # 8.46 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/47/10039.jpg,https://almacensandra.com.co/product/p-47-thyms-coloring-tinte-cobre-rojizo-claro-846-x-60gr
48,Thyms coloring tinte cobre rojizo mediano  # 7.46 x 60gr,12900 COP,thyms coloring tinte cobre rojizo mediano  # 7.46 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/48/10040.jpg,https://almacensandra.com.co/product/p-48-thyms-coloring-tinte-cobre-rojizo-mediano-746-x-60gr
49,Thyms coloring tinte cobre café mediano  # 7.43 x 60gr,12900 COP,thyms coloring tinte cobre café mediano  # 7.43 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/49/10041.jpg,https://almacensandra.com.co/product/p-49-thyms-coloring-tinte-cobre-cafe-mediano-743-x-60gr
51,Thyms coloring tinte rojo zafiro n.8.5 x 60gr,12900 COP,thyms coloring tinte rojo zafiro n.8.5 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/51/10045.jpg,https://almacensandra.com.co/product/p-51-thyms-coloring-tinte-rojo-zafiro-n85-x-60gr
52,Thyms coloring tinte caoba oscuro n.6.5 x 60gr,12900 COP,thyms coloring tinte caoba oscuro n.6.5 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/52/10048.jpg,https://almacensandra.com.co/product/p-52-thyms-coloring-tinte-caoba-oscuro-n65-x-60gr
53,Thyms coloring tinte caoba rojizo n.7.56 x 60gr b.rot,12900 COP,thyms coloring tinte caoba rojizo n.7.56 x 60gr b.rot,in stock,https://casandra-static.s3.amazonaws.com/products/53/10049.jpg,https://almacensandra.com.co/product/p-53-thyms-coloring-tinte-caoba-rojizo-n756-x-60gr-brot
54,Thyms coloring tinte rubio oscuro malva intenso n.6.56 x 60gr,12900 COP,thyms coloring tinte rubio oscuro malva intenso n.6.56 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/54/10050.jpg,https://almacensandra.com.co/product/p-54-thyms-coloring-tinte-rubio-oscuro-malva-intenso-n656-x-60gr
55,Thyms coloring tinte rubi n.5.56 x 60gr,12900 COP,thyms coloring tinte rubi n.5.56 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/55/10051.jpg,https://almacensandra.com.co/product/p-55-thyms-coloring-tinte-rubi-n556-x-60gr
56,Thyms coloring tinte rojo fuego # 9.6 x 60gr,12900 COP,thyms coloring tinte rojo fuego # 9.6 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/56/10052.jpg,https://almacensandra.com.co/product/p-56-thyms-coloring-tinte-rojo-fuego-96-x-60gr
57,Thyms coloring tinte rojo ardiente # 8.66 x 60gr,12900 COP,thyms coloring tinte rojo ardiente # 8.66 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/57/10053.jpg,https://almacensandra.com.co/product/p-57-thyms-coloring-tinte-rojo-ardiente-866-x-60gr
58,Thyms coloring tinte rojo granate # 7.6 x 60gr,12900 COP,thyms coloring tinte rojo granate # 7.6 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/58/10055.jpg,https://almacensandra.com.co/product/p-58-thyms-coloring-tinte-rojo-granate-76-x-60gr
59,Thyms coloring tinte rojo vino # 6.66 x 60gr,12900 COP,thyms coloring tinte rojo vino # 6.66 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/59/10056.jpg,https://almacensandra.com.co/product/p-59-thyms-coloring-tinte-rojo-vino-666-x-60gr
60,Thyms coloring tinte rojo veneciano # 9.65 x 60gr,12900 COP,thyms coloring tinte rojo veneciano # 9.65 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/60/10057.jpg,https://almacensandra.com.co/product/p-60-thyms-coloring-tinte-rojo-veneciano-965-x-60gr
61,Thyms coloring tinte malva rojizo intenso # 8.65 x 60gr,12900 COP,thyms coloring tinte malva rojizo intenso # 8.65 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/61/10058.jpg,https://almacensandra.com.co/product/p-61-thyms-coloring-tinte-malva-rojizo-intenso-865-x-60gr
62,Thyms coloring tinte rojo tiziano n.7.65 x 60gr,12900 COP,thyms coloring tinte rojo tiziano n.7.65 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/62/10059.jpg,https://almacensandra.com.co/product/p-62-thyms-coloring-tinte-rojo-tiziano-n765-x-60gr
63,Thyms coloring tinte caoba violino n.6.65 x 60gr,12900 COP,thyms coloring tinte caoba violino n.6.65 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/63/10060.jpg,https://almacensandra.com.co/product/p-63-thyms-coloring-tinte-caoba-violino-n665-x-60gr
65,Thyms coloring tinte borgoña n.6.7 x 60gr,12900 COP,thyms coloring tinte borgoña n.6.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/65/10063.jpg,https://almacensandra.com.co/product/p-65-thyms-coloring-tinte-borgona-n67-x-60gr
66,Thyms coloring tinte negro violino # 1.7 x 60gr,12900 COP,thyms coloring tinte negro violino # 1.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/66/10064.jpg,https://almacensandra.com.co/product/p-66-thyms-coloring-tinte-negro-violino-17-x-60gr
67,Thyms coloring tinte tasaco violino n.5.7 x 60gr,12900 COP,thyms coloring tinte tasaco violino n.5.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/67/10065.jpg,https://almacensandra.com.co/product/p-67-thyms-coloring-tinte-tasaco-violino-n57-x-60gr
70,Thyms coloring tinte rubio nuez # 8.81 x 60gr,12900 COP,thyms coloring tinte rubio nuez # 8.81 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/70/10069.jpg,https://almacensandra.com.co/product/p-70-thyms-coloring-tinte-rubio-nuez-881-x-60gr
71,Thyms coloring tinte verde # 116m x 60gr,12900 COP,thyms coloring tinte verde # 116m x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/71/10071.jpg,https://almacensandra.com.co/product/p-71-thyms-coloring-tinte-verde-116m-x-60gr
72,Thyms coloring tinte rojo # 113m x 60gr,12900 COP,thyms coloring tinte rojo # 113m x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/72/10073.jpg,https://almacensandra.com.co/product/p-72-thyms-coloring-tinte-rojo-113m-x-60gr
73,Thyms coloring tinte super aclarador  # 102m x 60gr,12900 COP,thyms coloring tinte super aclarador  # 102m x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/73/10075.jpg,https://almacensandra.com.co/product/p-73-thyms-coloring-tinte-super-aclarador-102m-x-60gr
74,Thyms coloring tinte aclarador n.101m x 60gr,12900 COP,thyms coloring tinte aclarador n.101m x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/74/10076.jpg,https://almacensandra.com.co/product/p-74-thyms-coloring-tinte-aclarador-n101m-x-60gr
76,Thyms oxigenta 30 vol x 1.000ml,13200 COP,thyms oxigenta 30 vol x 1.000ml,in stock,https://casandra-static.s3.amazonaws.com/products/76/10080.jpg,https://almacensandra.com.co/product/p-76-thyms-oxigenta-30-vol-x-1000ml
77,Thyms oxigenta  20 vol x 1000ml,12600 COP,thyms oxigenta  20 vol x 1000ml,in stock,https://casandra-static.s3.amazonaws.com/products/77/10081.jpg,https://almacensandra.com.co/product/p-77-thyms-oxigenta-20-vol-x-1000ml
83,Thyms coloring tinte plata n. 9.88 x 60 gr,12900 COP,thyms coloring tinte plata n. 9.88 x 60 gr,in stock,https://casandra-static.s3.amazonaws.com/products/83/10089.jpg,https://almacensandra.com.co/product/p-83-thyms-coloring-tinte-plata-n-988-x-60-gr
84,Maxybelt tinte rubio claro natural n.8.0 x 60gr,14400 COP,maxybelt tinte rubio claro natural n.8.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/84/10097.jpg,https://almacensandra.com.co/product/p-84-maxybelt-tinte-rubio-claro-natural-n80-x-60gr
85,Maxybelt tinte rubio medio natural n°7.0 x 60gr,14400 COP,maxybelt tinte rubio medio natural n°7.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/85/10098.jpg,https://almacensandra.com.co/product/p-85-maxybelt-tinte-rubio-medio-natural-n°70-x-60gr
86,Maxybelt tinte rubio oscuro natural n.6.0 x 60gr,14400 COP,maxybelt tinte rubio oscuro natural n.6.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/86/10099.jpg,https://almacensandra.com.co/product/p-86-maxybelt-tinte-rubio-oscuro-natural-n60-x-60gr
87,Maxybelt tinte castaño medio n.4.0 x 60gr,14400 COP,maxybelt tinte castaño medio n.4.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/87/10101.jpg,https://almacensandra.com.co/product/p-87-maxybelt-tinte-castano-medio-n40-x-60gr
88,Maxybelt tinte castaño oscuro natural n.3.0 x 60gr,14400 COP,maxybelt tinte castaño oscuro natural n.3.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/88/10102.jpg,https://almacensandra.com.co/product/p-88-maxybelt-tinte-castano-oscuro-natural-n30-x-60gr
89,Maxybelt tinte negro natural n.1.0 x 60gr,14400 COP,maxybelt tinte negro natural n.1.0 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/89/10103.jpg,https://almacensandra.com.co/product/p-89-maxybelt-tinte-negro-natural-n10-x-60gr
90,Maxybelt tinte rubio medio cenizo natural n.7.01 x 60gr,14400 COP,maxybelt tinte rubio medio cenizo natural n.7.01 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/90/10105.jpg,https://almacensandra.com.co/product/p-90-maxybelt-tinte-rubio-medio-cenizo-natural-n701-x-60gr
91,Maxybelt tinte rubio extraclarisimo cenizo n.10.1 x 60gr,14400 COP,maxybelt tinte rubio extraclarisimo cenizo n.10.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/91/10107.jpg,https://almacensandra.com.co/product/p-91-maxybelt-tinte-rubio-extraclarisimo-cenizo-n101-x-60gr
92,Maxybelt tinte rubio extraclaro cenizo n°9.1 x 60gr,14400 COP,maxybelt tinte rubio extraclaro cenizo n°9.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/92/10108.jpg,https://almacensandra.com.co/product/p-92-maxybelt-tinte-rubio-extraclaro-cenizo-n°91-x-60gr
93,Maxybelt tinte rubio claro cenizo n.8.1 x 60gr,14400 COP,maxybelt tinte rubio claro cenizo n.8.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/93/10109.jpg,https://almacensandra.com.co/product/p-93-maxybelt-tinte-rubio-claro-cenizo-n81-x-60gr
94,Maxybelt tinte rubio medio cenizo n.7.1 x 60gr,14400 COP,maxybelt tinte rubio medio cenizo n.7.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/94/10110.jpg,https://almacensandra.com.co/product/p-94-maxybelt-tinte-rubio-medio-cenizo-n71-x-60gr
96,Maxybelt tinte negro azul n°1.1 x 60gr,14400 COP,maxybelt tinte negro azul n°1.1 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/96/10112.jpg,https://almacensandra.com.co/product/p-96-maxybelt-tinte-negro-azul-n°11-x-60gr
99,Maxybelt tinte rubio oscuro mate n°6.2 x 60gr,14400 COP,maxybelt tinte rubio oscuro mate n°6.2 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/99/10117.jpg,https://almacensandra.com.co/product/p-99-maxybelt-tinte-rubio-oscuro-mate-n°62-x-60gr
100,Maxybelt tinte rubio claro dorado n.8.3  x 60gr,14400 COP,maxybelt tinte rubio claro dorado n.8.3  x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/100/10123.jpg,https://almacensandra.com.co/product/p-100-maxybelt-tinte-rubio-claro-dorado-n83-x-60gr
101,Maxybelt tinte rubio medio dorado n°7.3 x 60gr,14400 COP,maxybelt tinte rubio medio dorado n°7.3 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/101/10124.jpg,https://almacensandra.com.co/product/p-101-maxybelt-tinte-rubio-medio-dorado-n°73-x-60gr
102,Maxybelt tinte rubio claro rojizo n°8.4 x 60gr,14400 COP,maxybelt tinte rubio claro rojizo n°8.4 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/102/10129.jpg,https://almacensandra.com.co/product/p-102-maxybelt-tinte-rubio-claro-rojizo-n°84-x-60gr
103,Maxybelt tinte rubio claro rojizo dorado n.8.43 x 60gr,14400 COP,maxybelt tinte rubio claro rojizo dorado n.8.43 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/103/10133.jpg,https://almacensandra.com.co/product/p-103-maxybelt-tinte-rubio-claro-rojizo-dorado-n843-x-60gr
104,Maxybelt tinte castaño claro rojizo caoba n°5.45 x 60gr,14400 COP,maxybelt tinte castaño claro rojizo caoba n°5.45 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/104/10137.jpg,https://almacensandra.com.co/product/p-104-maxybelt-tinte-castano-claro-rojizo-caoba-n°545-x-60gr
105,Maxybelt tinte castaño medio caoba n°4.5 x 60gr,14400 COP,maxybelt tinte castaño medio caoba n°4.5 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/105/10141.jpg,https://almacensandra.com.co/product/p-105-maxybelt-tinte-castano-medio-caoba-n°45-x-60gr
106,Maxybelt tinte rubio claro marron n°8.7 x 60gr,14400 COP,maxybelt tinte rubio claro marron n°8.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/106/10144.jpg,https://almacensandra.com.co/product/p-106-maxybelt-tinte-rubio-claro-marron-n°87-x-60gr
107,Maxybelt tinte rubio medio marron n.7.7 x 60gr,14400 COP,maxybelt tinte rubio medio marron n.7.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/107/10145.jpg,https://almacensandra.com.co/product/p-107-maxybelt-tinte-rubio-medio-marron-n77-x-60gr
108,Maxybelt tinte rubio oscuro marron n.6.7 x 60gr,14400 COP,maxybelt tinte rubio oscuro marron n.6.7 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/108/10146.jpg,https://almacensandra.com.co/product/p-108-maxybelt-tinte-rubio-oscuro-marron-n67-x-60gr
109,Maxybelt tinte chocolate rubio oscuro n°6.74 x 60gr,14400 COP,maxybelt tinte chocolate rubio oscuro n°6.74 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/109/10150.jpg,https://almacensandra.com.co/product/p-109-maxybelt-tinte-chocolate-rubio-oscuro-n°674-x-60gr
110,Maxybelt tinte chocolate castaño claro n°5.74 x 60gr,14400 COP,maxybelt tinte chocolate castaño claro n°5.74 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/110/10151.jpg,https://almacensandra.com.co/product/p-110-maxybelt-tinte-chocolate-castano-claro-n°574-x-60gr
111,Maxybelt tinte rubio extraclarisimo perla n.10.8 x 60gr,14400 COP,maxybelt tinte rubio extraclarisimo perla n.10.8 x 60gr,in stock,https://casandra-static.s3.amazonaws.com/products/111/10155.jpg,https://almacensandra.com.co/product/p-111-maxybelt-tinte-rubio-extraclarisimo-perla-n108-x-60gr
116,Duvy class vision color tinte rubio claro natural #8.0 x 60ml,14100 COP,duvy class vision color tinte rubio claro natural #8.0 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/116/10225.jpg,https://almacensandra.com.co/product/p-116-duvy-class-vision-color-tinte-rubio-claro-natural-80-x-60ml
117,Duvy class vision color tinte rubio muy claro natural #9.0 x 60ml,14100 COP,duvy class vision color tinte rubio muy claro natural #9.0 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/117/10226.jpg,https://almacensandra.com.co/product/p-117-duvy-class-vision-color-tinte-rubio-muy-claro-natural-90-x-60ml
119,Duvy class vision color tinte rubio medio natural #7.0x 60ml,14100 COP,duvy class vision color tinte rubio medio natural #7.0x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/119/10228.jpg,https://almacensandra.com.co/product/p-119-duvy-class-vision-color-tinte-rubio-medio-natural-70x-60ml
120,Duvy class vision color tinte rubio oscuro natural #6.0 x 60ml,14100 COP,duvy class vision color tinte rubio oscuro natural #6.0 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/120/10229.jpg,https://almacensandra.com.co/product/p-120-duvy-class-vision-color-tinte-rubio-oscuro-natural-60-x-60ml
121,Duvy class vision color tinte castaño claro natural #5.0 x 60ml,14100 COP,duvy class vision color tinte castaño claro natural #5.0 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/121/10230.jpg,https://almacensandra.com.co/product/p-121-duvy-class-vision-color-tinte-castano-claro-natural-50-x-60ml
122,Duvy class vision color tinte castaño oscuro natural #3.0 x 60ml,14100 COP,duvy class vision color tinte castaño oscuro natural #3.0 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/122/10232.jpg,https://almacensandra.com.co/product/p-122-duvy-class-vision-color-tinte-castano-oscuro-natural-30-x-60ml
123,Duvy class vision color tinte negro intenso natural #1.0x 60ml,14100 COP,duvy class vision color tinte negro intenso natural #1.0x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/123/10233.jpg,https://almacensandra.com.co/product/p-123-duvy-class-vision-color-tinte-negro-intenso-natural-10x-60ml
124,Duvy class vision color tinte rubio claro natural ceniza  #8.01 x 60ml,14100 COP,duvy class vision color tinte rubio claro natural ceniza  #8.01 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/124/10234.jpg,https://almacensandra.com.co/product/p-124-duvy-class-vision-color-tinte-rubio-claro-natural-ceniza-801-x-60ml
125,Duvy class vision color tinte rubio oscuro natu ceniza #6.01 x 60ml,14100 COP,duvy class vision color tinte rubio oscuro natu ceniza #6.01 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/125/10235.jpg,https://almacensandra.com.co/product/p-125-duvy-class-vision-color-tinte-rubio-oscuro-natu-ceniza-601-x-60ml
126,Duvy class vision color tinte rubio muy claro natu superint #9.02 x 60ml,14100 COP,duvy class vision color tinte rubio muy claro natu superint #9.02 x 60ml,in stock,https://casandra-static.s3.amazonaws.com/products/126/10236.jpg,https://almacensandra.com.co/product/p-126-duvy-class-vision-color-tinte-rubio-muy-claro-natu-superint-902-x-60ml
